epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,843.804,2.01461,1.17059,1.22398,0.53833,0.39352,0.39847,0.19307,2.03787,1.08218,1.28721,2.146e-05,2.146e-05,2.146e-05
121,850.814,2.04869,1.18575,1.24225,0.54474,0.39252,0.39787,0.19308,2.03639,1.0821,1.28725,2.08e-05,2.08e-05,2.08e-05
122,858,1.99766,1.161,1.21665,0.54618,0.39222,0.39893,0.19309,2.0368,1.08246,1.28706,2.014e-05,2.014e-05,2.014e-05
123,865.127,2.02632,1.16359,1.23202,0.54148,0.40256,0.39913,0.19329,2.03835,1.08328,1.28731,1.948e-05,1.948e-05,1.948e-05
124,872.344,2.01253,1.17472,1.2337,0.54255,0.40136,0.40056,0.19407,2.03583,1.08197,1.28753,1.882e-05,1.882e-05,1.882e-05
125,879.413,2.01248,1.1729,1.22629,0.54453,0.39568,0.39958,0.194,2.03696,1.08106,1.28773,1.816e-05,1.816e-05,1.816e-05
126,886.414,2.01795,1.17555,1.23473,0.54067,0.3969,0.39957,0.19348,2.03637,1.08075,1.28742,1.75e-05,1.75e-05,1.75e-05
127,893.472,2.03758,1.18192,1.22949,0.54583,0.39675,0.39972,0.19361,2.03636,1.08031,1.28679,1.684e-05,1.684e-05,1.684e-05
128,900.444,2.02567,1.17193,1.23377,0.5443,0.39621,0.39956,0.19308,2.03722,1.08059,1.28673,1.618e-05,1.618e-05,1.618e-05
129,907.588,2.0107,1.16396,1.21981,0.54762,0.39344,0.40129,0.19485,2.03343,1.07895,1.28601,1.552e-05,1.552e-05,1.552e-05
130,914.688,2.00956,1.15919,1.22783,0.54915,0.39243,0.40191,0.19498,2.03289,1.07786,1.28589,1.486e-05,1.486e-05,1.486e-05
131,921.609,2.02225,1.17345,1.23639,0.54244,0.39512,0.40146,0.1941,2.03552,1.07893,1.28641,1.42e-05,1.42e-05,1.42e-05
132,928.504,2.0231,1.16832,1.2413,0.54413,0.39436,0.40083,0.19403,2.03521,1.07857,1.28653,1.354e-05,1.354e-05,1.354e-05
133,935.396,2.0232,1.16115,1.24314,0.54621,0.40115,0.40124,0.19442,2.03494,1.07901,1.2865,1.288e-05,1.288e-05,1.288e-05
134,942.317,2.013,1.16732,1.23429,0.54312,0.40127,0.40117,0.19473,2.03258,1.0778,1.28622,1.222e-05,1.222e-05,1.222e-05
135,949.267,2.01892,1.17127,1.23954,0.54316,0.39561,0.40113,0.19486,2.03328,1.07914,1.28647,1.156e-05,1.156e-05,1.156e-05
136,956.177,2.00346,1.16613,1.23159,0.54169,0.39616,0.40178,0.19508,2.03465,1.08035,1.28656,1.09e-05,1.09e-05,1.09e-05
137,963.123,2.01596,1.16382,1.21924,0.55427,0.39055,0.40147,0.1952,2.03535,1.07994,1.28634,1.024e-05,1.024e-05,1.024e-05
138,969.972,2.02281,1.17445,1.24435,0.54151,0.3945,0.40112,0.19487,2.03602,1.08037,1.28656,9.58e-06,9.58e-06,9.58e-06
139,976.995,2.02206,1.16581,1.2288,0.5542,0.38947,0.40207,0.19573,2.03424,1.07925,1.28602,8.92e-06,8.92e-06,8.92e-06
140,983.89,2.00022,1.16587,1.23106,0.55614,0.38676,0.40253,0.19569,2.03497,1.08008,1.28677,8.26e-06,8.26e-06,8.26e-06
141,1008.15,2.04039,1.24859,1.26999,0.51435,0.40245,0.39449,0.18897,2.03944,1.10207,1.28936,7.6e-06,7.6e-06,7.6e-06
142,1014.55,2.04066,1.23083,1.28401,0.49338,0.40251,0.39095,0.18681,2.04212,1.1184,1.29128,6.94e-06,6.94e-06,6.94e-06
143,1020.88,2.02884,1.22204,1.27687,0.5124,0.39164,0.38922,0.1859,2.0384,1.12039,1.29092,6.28e-06,6.28e-06,6.28e-06
144,1027.15,2.0417,1.23399,1.27579,0.51928,0.38284,0.38981,0.18672,2.03389,1.12057,1.2905,5.62e-06,5.62e-06,5.62e-06
145,1033.46,2.0395,1.21814,1.27776,0.5251,0.37339,0.39042,0.18678,2.03532,1.11848,1.29074,4.96e-06,4.96e-06,4.96e-06
146,1039.76,2.02469,1.21857,1.27431,0.50337,0.39079,0.3911,0.18723,2.03704,1.11914,1.29111,4.3e-06,4.3e-06,4.3e-06
147,1046.09,2.02555,1.20863,1.26632,0.52326,0.38466,0.39056,0.18758,2.03774,1.11849,1.29057,3.64e-06,3.64e-06,3.64e-06
148,1052.49,2.01994,1.201,1.27114,0.49801,0.39395,0.39128,0.18765,2.03717,1.11523,1.29028,2.98e-06,2.98e-06,2.98e-06
149,1058.86,2.02485,1.21518,1.27071,0.49106,0.39408,0.39119,0.18752,2.03707,1.11834,1.29066,2.32e-06,2.32e-06,2.32e-06
150,1065.3,2.02799,1.20103,1.27508,0.54066,0.37921,0.39136,0.18778,2.03696,1.11898,1.29009,1.66e-06,1.66e-06,1.66e-06
